season,designer,look_number,image_url,caption,source_url
fall-2026-ready-to-wear,Kim Shui,1,https://assets.vogue.com/photos/6992e978fc9cd845ab829eb4/master/w_2560%2Cc_limit/00001-kim-shui-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 1,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/kim-shui
fall-2026-ready-to-wear,Kim Shui,2,https://assets.vogue.com/photos/6992e979c191ac3040f11283/master/w_2560%2Cc_limit/00002-kim-shui-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 2,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/kim-shui
fall-2026-ready-to-wear,Kim Shui,3,https://assets.vogue.com/photos/6992e979cceed6f28ddeecae/master/w_2560%2Cc_limit/00003-kim-shui-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 3,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/kim-shui
fall-2026-ready-to-wear,Kim Shui,4,https://assets.vogue.com/photos/6992e97e27e344ed2fc01f68/master/w_2560%2Cc_limit/00004-kim-shui-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 4,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/kim-shui
fall-2026-ready-to-wear,Kim Shui,5,https://assets.vogue.com/photos/6992e97ecceed6f28ddeecbb/master/w_2560%2Cc_limit/00005-kim-shui-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 5,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/kim-shui
fall-2026-ready-to-wear,Kim Shui,6,https://assets.vogue.com/photos/6992e97e1649f313d4dca076/master/w_2560%2Cc_limit/00006-kim-shui-fall-2026-ready-to-wear-credit-gorunway.jpg,Look 6,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/kim-shui
fall-2026-ready-to-wear,Kim Shui,7,https://assets.vogue.com/photos/6992ea22c000099a3fb4b016/master/w_1280%2Cc_limit/00001-kim-shui-fall-2026-ready-to-wear-credit-gorunway.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/kim-shui
fall-2026-ready-to-wear,Kim Shui,8,https://assets.vogue.com/photos/68c6b10c566178fdcde60508/master/w_1280%2Cc_limit/00001-kim-shui-spring-2026-ready-to-wear-credit-gorunway.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/kim-shui
fall-2026-ready-to-wear,Kim Shui,9,https://assets.vogue.com/photos/67a723d3db50d8794822fcfa/master/w_1280%2Cc_limit/00001-kim-shui-fall-2025-ready-to-wear-credit-gorunway.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/kim-shui
fall-2026-ready-to-wear,Kim Shui,10,https://assets.vogue.com/photos/66dd5bcc7315d2e7b37891c7/master/w_1280%2Cc_limit/00001-kim-shui-spring-2025-ready-to-wear-credit-gorunway.jpg,Spring 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/kim-shui
fall-2026-ready-to-wear,Kim Shui,11,https://assets.vogue.com/photos/65c7934e8a8c3cfe48511700/master/w_1280%2Cc_limit/00001-kim-shui-fall-2024-ready-to-wear-credit-gorunway.jpg,Fall 2024 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/kim-shui
fall-2026-ready-to-wear,Kim Shui,12,https://assets.vogue.com/photos/6511ae1af2c5f116facbe08d/master/w_1280%2Cc_limit/00001-kim%2520shui-spring-2024-ready-to-wear-credit-gorunway.jpg,Spring 2024 Ready-to-Wear,https://www.vogue.com/fashion-shows/fall-2026-ready-to-wear/kim-shui
