season,designer,look_number,image_url,caption,source_url
spring-2027-ready-to-wear,Ahluwalia Studio,1,https://assets.vogue.com/photos/6aae9f1e1eb29bd6b9025d73/master/w_2560%2Cc_limit/00001-ahluwalia-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 1,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/ahluwalia-studio
spring-2027-ready-to-wear,Ahluwalia Studio,2,https://assets.vogue.com/photos/6aae9f1e63120c8790b7e071/master/w_2560%2Cc_limit/00002-ahluwalia-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 2,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/ahluwalia-studio
spring-2027-ready-to-wear,Ahluwalia Studio,3,https://assets.vogue.com/photos/6aae9f1e8f5a3da39ff23859/master/w_2560%2Cc_limit/00003-ahluwalia-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 3,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/ahluwalia-studio
spring-2027-ready-to-wear,Ahluwalia Studio,4,https://assets.vogue.com/photos/6aae9f20b91793b98ac551a2/master/w_2560%2Cc_limit/00004-ahluwalia-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 4,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/ahluwalia-studio
spring-2027-ready-to-wear,Ahluwalia Studio,5,https://assets.vogue.com/photos/6aae9f216dcec0e432b25c41/master/w_2560%2Cc_limit/00005-ahluwalia-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 5,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/ahluwalia-studio
spring-2027-ready-to-wear,Ahluwalia Studio,6,https://assets.vogue.com/photos/6aae9f203a6936b79cb54ce2/master/w_2560%2Cc_limit/00006-ahluwalia-spring-2027-ready-to-wear-credit-gorunway.jpg,Look 6,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/ahluwalia-studio
spring-2027-ready-to-wear,Ahluwalia Studio,7,https://assets.vogue.com/photos/6aaea10296fdbffdcdd5bcc8/master/w_1280%2Cc_limit/00001-ahluwalia-spring-2027-ready-to-wear-credit-gorunway.jpg,Spring 2027 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/ahluwalia-studio
spring-2027-ready-to-wear,Ahluwalia Studio,8,https://assets.vogue.com/photos/6998696868c51d4bb342118f/master/w_1280%2Cc_limit/00001-ahluwalia-fall-2026-ready-to-wear-credit-brand.jpg,Fall 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/ahluwalia-studio
spring-2027-ready-to-wear,Ahluwalia Studio,9,https://assets.vogue.com/photos/68cebede39247d1eb0b50550/master/w_1280%2Cc_limit/00001-ahluwalia-spring-2026-ready-to-wear-details-credit-gorunway.jpg,Spring 2026 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/ahluwalia-studio
spring-2027-ready-to-wear,Ahluwalia Studio,10,https://assets.vogue.com/photos/67bb1fb24dcb23445e1abcb5/master/w_1280%2Cc_limit/00001-ahluwalia-fall-2025-ready-to-wear-credit-brand.jpg,Fall 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/ahluwalia-studio
spring-2027-ready-to-wear,Ahluwalia Studio,11,https://assets.vogue.com/photos/66e5afb735af0e82cefc4036/master/w_1280%2Cc_limit/00001-ahluwalia-spring-2025-ready-to-wear-credit-gorunway.jpg,Spring 2025 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/ahluwalia-studio
spring-2027-ready-to-wear,Ahluwalia Studio,12,https://assets.vogue.com/photos/65d0ef73fc5fdb7fad3b72fd/master/w_1280%2Cc_limit/00001-ahluwalia-fall-2024-ready-to-wear-credit-gorunway.jpg,Fall 2024 Ready-to-Wear,https://www.vogue.com/fashion-shows/spring-2027-ready-to-wear/ahluwalia-studio
